ID,L,T,D,R
1,E,Empieza,Defecto en el interior de un cañón consistente en un pequeño hoyo,Escarabajo
2,B,Empieza,"Agente intermediario en operaciones financieras o comerciales que percibe una comisión por su intervención.",Bróker
3,M,Empieza,Se dice del pez con una sola aleta.,Monopterigio
4,H,Empieza,"Religión politeísta predominante en la India, que afirma la existencia de la reencarnación.",Hinduismo
5,M,Empieza,Título de honor que concede el papa a determinados eclesiásticos.,Monseñor
6,N,Empieza,Sobrenombre que utiliza un usuario de Internet para identificarse cuando accede a algunos servicios.,Nick
7,S,Empieza,"Sencillez, veracidad, modo de expresarse libre de fingimiento.",Sinceridad
8,P,Empieza ,"Municipio de Colombia en el que se encuentra el monumento a los Lanceros del Pantano de Vargas.",Paipa
9,U,Empieza ,Se dice de la onda electromagnética de longitud inferior a un metro.,Ultracorta
10,T,Empieza ,Parte del tronco de un árbol que queda unida a la raíz cuando lo cortan por el pie.,Tocón 
11,Y,Contiene,"Despensa, lugar donde se tienen guardadas las provisiones de comida en una casa.",Pantry
12,V,Empieza ,Alternación de las cosas por turno u orden sucesivo.,Vez
13,C,Empieza ,"Animal invertebrado de cuerpo alargado, estrecho y dividido en veintiún anillos, con un par de patas en cada uno.",Ciempiés
14,B,Empieza ,Bollo redondo relleno de crema o nata.,Bamba
15,E,Empieza ,Período de tiempo constituido por los tres días de carnaval.,Entruejo
16,D,Empieza ,"Contribución que pagaban los fieles a laIglesia, consistente en la décima parte de sus frutos.",Diezmo
17,G,Empieza ,Palo grueso y pesado que se utiliza como bastón o como arma.,Garrote
18,F,Empieza ,"Chabola de las grandes ciudades de Brasil.",Favela
19,I,Empieza ,"Nombre de la dinastía a la que pertenecieron los emperadores bizantinos León 3° y Constantino 5°.",Usuarios
20,L,Empieza ,Finca rústica de gran extensión.,Latifundio
21,J,Empieza ,Lenguaje especial y no formal que usan entre sí los individuos de ciertas profesiones у oficios.,Jerga
22,Q,Contiene,Arte de proyectar y construir edificios.,Arquitectura
23,Ñ,Contiene ,Tira de tela con que se tapa la bragueta o abertura que tienen los calzones o pantalones por delante.,Portañuela
24,Y,Contiene,Criado principal a cuyo cargo está el gobierno económico de una casa o hacienda.,Mayordomo
25,Ñ,Contiene,Teatro representado por medio de títeres que se manejan introduciendo una mano en su interior.,Guiñol
26,R,Empieza ,"Apellido del artista autor del libro de fotografías titulado ""Nueve piscinas"".","Ruscha, Edward"
27,F,Empieza ,"Apellido del escultor autor de la obra ""El amor sagrado venciendo al amor profano""","Fedele, tommaso "
28,G,Empieza ,Campo de concentración de la antigua Unión Soviética para los disidentes de la revolución bolchevique.,Gulag
29,O,Empieza ,Tratado impreso de poca extensión.,Opósculo
30,I,Empieza ,Mineral arcilloso que pertenece al grupo de las micas y es también conocido como hidromoscovita,Illita
31,E,Empieza ,Adelantamiento destacado que hace un corredor o un grupo de corredores respecto del resto de los participantes.,Escapada
32,M,Empieza ,Ciudad de Inglaterra que es capital del condado de Kent.,Maidstone
33,J,Empieza ,Primera persona del singular del pretérito imperfecto de indicativo del verbo jugar.,Jugaba
34,Z,Empieza,Voz cadenciosa simultánea en el trabajo de los marineros.,Zaloma
35,J,Empieza ,Primera persona del singular del pretérito imperfecto de indicativo del verbo jugar.,Jugaba
36,R,Empieza ,Uso terapéutico de la risa.,Risoterapia
37,Y,Contiene ,"Mamífero carnívoro de Norteamérica, semejante al lobo pero más pequeño y de pelaje gris amarillento.",Coyote
38,T,Empieza ,"Abrigo corto, con capucha y con piezas alargadas a modo de botones.",Trenca
39,J,Empieza ,Iguana más pequeña que la común.,Jama
40,H,Empieza ,"En la mitología griega, nombre de la reina de Lemnos que ocultó a su padre, Toante, у con ello le salvó la vida.",Hipsípila
41,Z,Empieza ,"En Marruecos, mercado.",Zoco
42,Y,Empieza ,"Título de la novela de la escritora Ursula K. Le Guin, que es la cuarta de la saga conocida como ""Historias de Terramar"".",Tehanu
43,C,Empieza ,"Pasar la pelota un jugador a otro de su equipo, cuando ambos están cerca.",Ceder
44,N,Empieza ,Terreno poblado de olmos.,Negrillera
45,G,Empieza ,Actor de buena presencia que interpreta papeles de hombre seductor.,Galán 
46,Q,Contiene ,Política económica de un Estado que intenta bastarse con sus propios recursos.,Autarquía 
47,O,Empieza ,País asiático con capital en Mascate.,Omán 
48,F,Empieza ,Preparación cosmética glutinosa que se usa para asentar el cabello.,Fijador
49,Y,Empieza ,"Supuesta piedra con propiedades opuestas a las del imán, en cuya existencia se creía antiguamente.",Teame 
50,P,Empieza ,"Apellido artístico de la cantante francesa famosa por temas como ""La vie en rose""",Piaf
51,G,Empieza,Palabra o expresión de la lengua francesa empleada en otra lengua.,Galicismo
52,L,Empieza ,Conjunto de leyes de un país.,Legislación 
53,I,Empieza ,"Desagradecimiento, olvido o desprecio de los beneficios recibidos.",Ingratitud
54,R,Empieza ,"Enrollar hacia atrás un carrete de fotos, una película o una cinta magnética para que vuelva a su posición original.",Rebobinar
55,P,Empieza ,Se dice de aquello que sirve para enseñar algo con claridad.,Pedagógico 
56,F,Empieza ,Atracción irresistible.,Fascinación 
57,A,Empieza ,Período de cien años.,Siglo
58,T,Empieza ,"Selva propia del norte de Rusia y Siberia, de subsuelo helado, limitada al sur por la estepa y al norte por la tundra. ",Taiga 
59,C,Empieza ,Galería que rodea el patio principal de una iglesia o convento.,"Claustro, Corredor"
60,I,Empieza ,Natural del país asiático con capital en Teherán.,"Iraní, Iranio, Irania"
61,J,Empieza ,"Entre los cristianos, indulgencia plenaria, solemne y universal, concedida por el papa en algunas ocasiones.",Jubileo
62,Y,Contiene,Cualquier cosa que está debajo de otra y sobre la que ésta descansa.,"Apoyo, apoyadero, apoyatura"
63,Z,Empieza ,"Coloquialmente, mostrar alguien su superioridad sobre su contrincante en una riña poniéndole en situaciones apuradas.","Zamarrear, Zamarronear"
64,G,Empieza ,"Fan muy entusiasta de un cantante o grupo musical, a los que sigue en sus conciertos.",Groupie
65,E,Empieza ,Tiempo que ha vivido una persona u otro ser vivo hasta el momento que se considera.,Edad
66,D,Empieza ,Polígono de doce lados.,Dodecágono 
67,Y,Empieza ,"Provecho, conveniencia, interés o fruto que se saca de algo.","Utilidad, usufructo "
68,E,Empieza ,"Hueso plano situado en la parte anterior del pecho, con el cual se articulan por delante las costillas.",Esternón
69,X,Contiene,Arte de disecar animales para conservarlos con apariencia de vivos.,Taxidermia
70,Z,Empieza ,Cosido que queda hecho cuando se zurce.,Zurcido
71,Y,Contiene,Agua amarillenta en que se ha cocido el maiz.,Nenjayote
72,A,Empieza ,Prisma de los que rematan la parte superior de las murallas.,Almena
73,H,Empieza ,Cenicero contiguo al fogón.,Hornía
74,G,Empieza ,Apellido del político que fue presidente del gobierno de España entre 1982 y 1996.,"González, Felipe González "
75,L,Empieza,Acción de ejecutar sin proceso y tumultuariamente a un sospechoso o a un reo.,Linchamiento
76,J,Empieza ,Se dice del virote o flecha con la punta guarnecida con un casquillo.,Ostra do
77,Q,Contiene ,"Indisposición o molestia, crónica o intermitente, especialmente la que acompaña a la vejez.",Achaque
78,U,Empieza ,Común o habitual.,Usual
79,P,Empieza ,Brújula que señala la dirección del barco.,Patilla
80,Y,Empieza ,Ciudad de Japón que es capital de la prefectura de Tochigi.,Utsunomiya 
81,Y,Contiene,"Profesor, funcionario o militar que desempeña sus funciones al lado y bajo la dirección o a las órdenes de otro.",Ayudante
82,H,Empieza ,Persona que es especialista en la lengua y la cultura hispánicas.,Hispanista
83,N,Empieza ,Se dice de la persona o cosa desgraciada o detestable.,Nefasto
84,O,Empieza ,"Ágata con capas de colores alternativamente claros y muy oscuros, que suele emplearse para hacer camafeos.","Ónice, ónix, ónique"
85,Q,Contiene,Reunión en que se convoca a un número limitado de personas para debatir un tema determinado.,Coloquio
86,B,Empieza,Nombre del caballo del Cid Campeador.,Babieca
87,L,Empieza,Brillo de un objeto,Lustre
88,Ñ,Contiene,"Pequeño mamífero insectívoro, semejante a un ratón, pero con el hocico largo y puntiagudo.",Musaraña
89,N,Empieza ,"Se dice de la persona soñadora, que no se percata de la realidad.",Nefelibata
90,U,Empieza,Aparato que sirve para medir la cantidad de lluvia que cae en un lugar y tiempo dados.,Udómetro 
91,X,Contiene,Relajación física o psíquica ,"Relax, Laxitud"
92,F,Empieza,Cubo grande para el vino,Fudre
93,Y,Empieza ,Tejido adiposo del cerdo,Tocino
94,O,Empieza ,Lámina de latón que imita al oro,Oropel
95,R,Empieza ,"Quitar cualquier saliente o torcedura a los filos de las espadas, hasta dejarlos completamente rectos.",Reseguir
96,V,Empieza ,"Música y canto originarios de la región caribeña de Colombia, normalmente con acompañamiento de acordeón.",Vallenato
97,E,Empieza ,Intermedio de una representación teatral ,Entreacto
98,L,Empieza ,Ceremonia religiosa de los antiguos paganos que consistía en derramar vino u otro licor en honor de los dioses.,Libación 
99,S,Empieza ,Vestido largo de una sola pieza que usan las mujeres de la India.,Sari
100,Q,Contiene,"Resumen de un escrito, discurso o teoría, atendiendo solo a sus líneas o aspectos más significativos.","Esquema, Esqueleto, Bosquejo"
101,J,Empieza ,"Entre los cristianos, indulgencia plenaria, solemne y universal, concedida por el papa en algunas ocasiones.",Jubileo
102,M,Empieza ,Hecho no explicable por las leyes naturales y que se atribuye a intervención sobrenatural de origen divino.,Milagro
103,G,Empieza ,Vivienda señorial etíope a la que se accede desde un amplio patio.,Gueno
104,O,Empieza ,Cuadro que se hace con los retratos de todos los que terminan la carrera en la misma promoción.,Orla
105,U,Empieza ,"Nombre del satélite de Urano, descubierto en 1851 por William Lassell, que tiene un diámetro de 1.170 kilómetros.",Umbriel 
106,Q,Contiene ,Acróbata o equilibrista ambulante.,Saltimbanqui
107,R,Empieza ,Paralelogramo que tiene los lados iguales y dos de sus ángulos mayores que los otros dos.,Rombo
108,T,Empieza ,Trozo de cartulina u otro material de forma rectangular en que están impresos ciertos datos.,Tarjeta
109,Y,Contiene ,"Prenda interior femenina, elástica y ajustada, de una sola pieza, que cubre el tronco.",Body
110,G,Empieza ,Operario que tiene por oficio la colocación y arreglo de los aparatos necesarios para el alumbrado por gas.,"Gasista, Gasfitero"
111,I,Empieza ,Lengua de tierra que une dos continentes o una península con un continente.,Istmo
112,E,Empieza ,"Clavo con la cabeza doblada en forma de codo, que sirve para colgar algo de él.",Escarpia
113,L,Empieza ,"Catalejo, anteojo portátil y extensible.","Largomira, larga vista"
114,Y,Contiene,Ventana abierta en el techo o en la parte alta de la pared.,Claraboya
115,Z,Empieza,Parte trasera de algo,"Zaga, Zaguera"
116,X,Contiene,Precisión y rigor en la determinación de una cosa.,Exactitud
117,P,Empieza ,"Coloquialmente, verdad o certeza que, por notoriamente sabida, es necedad o simpleza el decirla.",Perrogrullada
118,S,Empieza ,Cesto hecho de madera de castaño.,Sarán
119,I,Empieza ,No conocido ni descubierto.,"Ignoto, Ignorado, Incierto, Incógnita"
120,N,Empieza ,Estudio del sistema nervioso y de sus enfermedades.,Neurología 
121,O,Empieza ,Antipatía y aversión hacia algo o hacia alguien cuyo mal se desea.,"Ojeriza, Odio"
122,T,Empieza,"Coloquialmente, partida de un juego de azar",Timba
123,F,Empieza ,Punta que tienen los banderines y estandartes en el borde opuesto a la sujeción.,Farpa 
124,P,Empieza ,"Se aplica al arte y a los artistas de estilo excesivamente académico, efectista y carente de originalidad.",Pompier 
125,Q,Contiene ,"Venta, con gran rebaja de precios, que hace una tienda para terminar sus existencias, por quiebra, reforma o traslado.",Liquidación 
126,Y,Empieza ,Natural del país africano con capital en Kampala.,Ugandés 
127,Z,Empieza ,"Vasija grande de metal para guardar aceite, con tapadera, y generalmente con un grifo en la parte inferior.",Zafra
128,E,Empieza ,"Idioma creado en el siglo 19 por Zamenhof, con el fin de que sirviera como lengua universal.",Esperanto
129,H,Empieza ,"Se dice de la novela que desarrolla su acción en épocas pasadas, con personajes reales o ficticios.",Histórica 
130,B,Empieza ,Variedad del asturleonés que se habla en Asturias.,Bable
131,R,Empieza ,Última parte del intestino grueso.,Recto
132,F,Empieza ,"Coloquialmente, dólar estadounidense.",Fula
133,G,Empieza ,Dueño o gestor de una galería de arte.,Galerista
